绯梦,无粉丝牌,-1,龙神。枫哥那边你的麦很大声。调一下~~
呵呵~,怼怼,11,龙神戒了槟榔吧
喝汤一样,无粉丝牌,-1,vhj a
YYFdaiper,怼怼,10,别吃槟榔了 龙神
华府小杂役,无粉丝牌,-1,一日王朝
哈库拉玛塔塔,怼怼,7,vgj啊
毛线,无粉丝牌,-1,切舌头切掉一半的脸
战国,无粉丝牌,-1,开额啊
Zado,怼怼,10,这两把打完了vgj跟eg都不会打完
音符灬困♪ㄋ,怼怼,13,开了呀。别挂了
dasinideshi,怼怼,4,一日王朝
速度计算口径的,无粉丝牌,-1,德玛西亚
小胖,怼怼,1,黑啊
轩辕,怼怼,10,感觉国士无双有点累
高……飞,无粉丝牌,-1,为什么还不开
mistake,无粉丝牌,-1,戒槟榔老比
OKE.怼怼,怼怼,16,必须戒！不是能不能
踏月,怼怼,12,你不能保证每场比赛都有人看
。。。,无粉丝牌,-1,皮鞋啊
1636941251yy,无粉丝牌,-1,想看皮鞋首战ti啊
Masami,怼怼,5,烟真的也少抽一点 有家室了 要注意身体
无梦旅人i,无粉丝牌,-1,看屁孩啊
法儒☞君奉天☜小毛驴,怼怼,13,我反正谁看vgj看谁
茶叶蛋丶,无粉丝牌,-1,龙神在哪看礼物的
看着月亮说 晚安,怼怼,8,焦点口香糖什么的
龙神OB OB第一,怼怼,12,HXSB
X！,怼怼,12,给我大巴黎一个面子
frank,怼怼,5,老板大气，谢谢老板。
舒小午,无粉丝牌,-1,注意身体a
今,无粉丝牌,-1,谢谢这个老b的礼物
D2·1st,无粉丝牌,-1,玄学dota
DengLS,怼怼,5,龙神！别吃槟榔了啊！求你了
皱皱从小就逗,怼怼,10,第一天的李狗蛋  肯定没有问题的呀 这个是传统呀
9000丶青木,怼怼,10,龙神今天好帅啊
sssss,怼怼,12,龙神牛逼
【天逸】,怼怼,6,vgj
咔咔就是干,无粉丝牌,-1,不忍直视
2046,怼怼,8,无敌等收菜
black_hole,怼怼,13,巨龙巨龙，与众不同
莫名,无粉丝牌,-1,第一场lgd，第二场随你
馒头头,无粉丝牌,-1,哟，色相头。
dddd,怼怼,9,老毕戒槟榔
释冰,无粉丝牌,-1,。。。第一天奶味十足
群里的咸鱼,无粉丝牌,-1,这id
　silent丶◈|▍小狂,怼怼,10,口腔溃疡，西瓜霜喷剂是神药
【天逸】,怼怼,6,vgj
爸爸,KK俠,9,6666666666
狼❥_佩佩,无粉丝牌,-1,尤神还能说话？？？
3,怼怼,10,呆龙注意身体啊
无聊透了····,无粉丝牌,-1,老毕少吃点槟榔啊
笨  笨,无粉丝牌,-1,龙神加速器开好了吗啊
大师兄,怼怼,10,皮孩TI首秀的不看下的咯
万能青年爻扬,无粉丝牌,-1,感谢这个逼！！！
绯梦,无粉丝牌,-1,龙神。枫哥那边你的麦很大声。调一下~
zj15879130253,怼怼,12,LGD的一日王朝
狼先生,无粉丝牌,-1,我不管，我要看FY
FerRuaRi,怼怼,13,.
归去来兮,无粉丝牌,-1,龙神龙神，
是星辰瀚海,无粉丝牌,-1,没有开幕式吗。
回始眦终,无粉丝牌,-1,色相头直播，我们监督你
龙神素质粉,怼怼,6,。。。。
yahoo,无粉丝牌,-1,槟榔明知道不是好东西，还吃那么多
战国无名氏,怼怼,12,233
1636941251yy,无粉丝牌,-1,是
No limit,无粉丝牌,-1,不想看你早死龙神
玥玥,怼怼,12,山岭巨人
疯疯癫癫的闹着、‖,无粉丝牌,-1,vgj
风景扯呼,无粉丝牌,-1,皮鞋ti 首秀啊 龙神
1636941251yy,无粉丝牌,-1,啊所发生的
业界良心longdd,无粉丝牌,-1,6666666
业界良心longdd,无粉丝牌,-1,666666666666666666
业界良心longdd,无粉丝牌,-1,66666
业界良心longdd,无粉丝牌,-1,66666
业界良心longdd,无粉丝牌,-1,66666
业界良心longdd,无粉丝牌,-1,66666
业界良心longdd,无粉丝牌,-1,66666666
........,怼怼,6,看皮孩啊
业界良心longdd,无粉丝牌,-1,666666666
业界良心longdd,无粉丝牌,-1,666666
业界良心longdd,无粉丝牌,-1,666666666666666666
业界良心longdd,无粉丝牌,-1,666
业界良心longdd,无粉丝牌,-1,666666
业界良心longdd,无粉丝牌,-1,666666
业界良心longdd,无粉丝牌,-1,666666666666666
业界良心longdd,无粉丝牌,-1,666
业界良心longdd,无粉丝牌,-1,66666666
业界良心longdd,无粉丝牌,-1,6666
业界良心longdd,无粉丝牌,-1,666666666666666666666666666666
Old chicken,无粉丝牌,-1,色像头都开额
田宸,无粉丝牌,-1,啊
业界良心longdd,无粉丝牌,-1,666666666
业界良心longdd,无粉丝牌,-1,666
业界良心longdd,无粉丝牌,-1,666666666
